zipfian_const, NR_DPUS, NR_TASKLETS, batch_num, num_keys, max_query_num, preprocess_time1, preprocess_time2, migration_plan_time, migration_time, send_time, execution_time, recieve_result_time, merge_time, batch_time, throughput
0.99, 2500, 12, 1, 1000000, 114356, 0.38793, 0.48738, 0.00099, 0.00025, 0.36553, 1.85788, 0.69808, 0.00000, 3.79803, 263294
0.99, 2500, 12, 2, 1000000, 76158, 0.39417, 0.67573, 0.00104, 0.22838, 0.26279, 1.34638, 0.20172, 0.00000, 3.11021, 321521
0.99, 2500, 12, 3, 1000000, 38303, 0.39889, 0.90383, 0.00105, 0.22790, 0.16469, 0.67812, 0.11101, 0.00000, 2.48551, 402332
0.99, 2500, 12, 4, 1000000, 38532, 0.41253, 0.98682, 0.00167, 0.23054, 0.17266, 0.68380, 0.10164, 0.00000, 2.58965, 386152
0.99, 2500, 12, 5, 1000000, 38446, 0.39950, 0.51022, 0.00166, 0.22938, 0.12145, 0.68050, 0.10479, 0.00000, 2.04750, 488401
0.99, 2500, 12, 6, 1000000, 38261, 0.39013, 0.51393, 0.00164, 0.22942, 0.12215, 0.67802, 0.10743, 0.00000, 2.04272, 489543
0.99, 2500, 12, 7, 1000000, 38396, 0.39917, 0.51894, 0.00162, 0.22522, 0.13456, 0.67910, 0.11172, 0.00000, 2.07031, 483019
0.99, 2500, 12, 8, 1000000, 38457, 0.39866, 0.51861, 0.00162, 0.22276, 0.12858, 0.68228, 0.10593, 0.00000, 2.05844, 485804
0.99, 2500, 12, 9, 1000000, 38460, 0.39267, 0.51891, 0.00160, 0.22736, 0.14489, 0.68090, 0.10585, 0.00000, 2.07218, 482583
0.99, 2500, 12, 10, 1000000, 38496, 0.39796, 0.51915, 0.00163, 0.22705, 0.12967, 0.68147, 0.10709, 0.00000, 2.06402, 484491
0.99, 2500, 12, total, 10000000,, 3.97161, 6.15351, 0.01452, 2.04826, 1.74699, 8.64843, 1.75525, 0.00000, 24.33858, 410870.21875
